tool,mode,threshold,t_wall,t_cpu,timeout,mc time,states,lower_bound,trans,prob,prob LP,heur_iter,info (total states:15875)
fark,z form,1e-05,9.82348346710205,25.92315130995121,False,-,9164,-,-,1.0028446616826966e-05,1e-05,4,-
fark,y form,1e-05,12.3331298828125,34.301027868990786,False,-,9022,-,-,1.012548502551588e-05,1e-05,5,-
fark,z form,1e-05,14.267181873321533,40.25183574401308,False,-,9164,-,-,1.0028446616826966e-05,1e-05,5,-
fark,y exact,1e-05,1803.207079410553,7186.802869025967,True,-,9018,4961.0,-,1.0015523155425767e-05,1e-05,-,-
fark,z exact,1e-05,1801.9978158473969,7177.597685136017,True,-,9023,2360.0,-,1.01048905703787e-05,1e-05,-,-
comics,global,1e-05,2.54298,-,-,-,9132,-,-,1.0031e-05,-,-,-
comics,local,1e-05,115.81,-,-,-,15713,-,-,1.001e-05,-,-,-
fark,y form,1.1000000000000001e-05,1.747248888015747,3.487541412934661,False,-,15863,-,-,2.5586418975394426e-05,1.1000000000000001e-05,1,-
fark,z form,1.1000000000000001e-05,1.708400011062622,3.941156932967715,False,-,15872,-,-,1.8215588104061185e-05,1.1000000000000001e-05,1,-
fark,y form,1.1000000000000001e-05,4.036397933959961,9.780859727994539,False,-,9058,-,-,1.1057946848177714e-05,1.1000000000000001e-05,2,-
fark,z form,1.1000000000000001e-05,4.716625213623047,12.446495170006528,False,-,9204,-,-,1.1057196956806939e-05,1.1000000000000001e-05,2,-
fark,y form,1.1000000000000001e-05,7.760043382644653,21.766598665970378,False,-,9058,-,-,1.1057946848177714e-05,1.1000000000000001e-05,3,-
fark,z form,1.1000000000000001e-05,7.655786991119385,20.783274471992627,False,-,9204,-,-,1.1057196956806939e-05,1.1000000000000001e-05,3,-
fark,y form,1.1000000000000001e-05,10.47671127319336,29.7724046719959,False,-,9058,-,-,1.1057946848177714e-05,1.1000000000000001e-05,4,-
fark,z form,1.1000000000000001e-05,10.108072519302368,27.075260040001012,False,-,9204,-,-,1.1057196956806939e-05,1.1000000000000001e-05,4,-
fark,y form,1.1000000000000001e-05,12.252619504928589,33.96045104996301,False,-,9058,-,-,1.1057946848177714e-05,1.1000000000000001e-05,5,-
fark,z form,1.1000000000000001e-05,13.343857526779175,36.56405822199304,False,-,9204,-,-,1.1057196956806939e-05,1.1000000000000001e-05,5,-
fark,y exact,1.1000000000000001e-05,1803.487200975418,7188.112160966033,True,-,9058,5175.0,-,1.1103066477205097e-05,1.1000000000000001e-05,-,-
fark,z exact,1.1000000000000001e-05,1805.8265190124512,7192.54318780289,True,-,9058,2990.0,-,1.1035455837346698e-05,1.1000000000000001e-05,-,-
comics,global,1.1000000000000001e-05,2.58063,-,-,-,9172,-,-,1.10183e-05,-,-,-
comics,local,1.1000000000000001e-05,117.537,-,-,-,15803,-,-,1.10662e-05,-,-,-
fark,y form,1.2000000000000002e-05,2.8777689933776855,8.03991785098333,False,-,15863,-,-,2.5586418975394426e-05,1.2000000000000002e-05,1,-
fark,z form,1.2000000000000002e-05,1.6599984169006348,3.738554951036349,False,-,15872,-,-,1.8215588104061185e-05,1.2000000000000002e-05,1,-
fark,y form,1.2000000000000002e-05,4.516216039657593,11.657070719986223,False,-,9094,-,-,1.2076279623589509e-05,1.2000000000000002e-05,2,-
fark,z form,1.2000000000000002e-05,4.64097785949707,12.167561443988234,False,-,9579,-,-,1.2002127759919676e-05,1.2000000000000002e-05,2,-
fark,y form,1.2000000000000002e-05,7.476674318313599,20.61850008997135,False,-,9094,-,-,1.2076279623589509e-05,1.2000000000000002e-05,3,-
fark,z form,1.2000000000000002e-05,8.323545217514038,23.411318638012744,False,-,9579,-,-,1.2002127759919676e-05,1.2000000000000002e-05,3,-
fark,y form,1.2000000000000002e-05,8.924678802490234,23.53975211305078,False,-,9094,-,-,1.2076279623589509e-05,1.2000000000000002e-05,4,-
fark,z form,1.2000000000000002e-05,11.246214389801025,31.62683034897782,False,-,9579,-,-,1.2002127759919676e-05,1.2000000000000002e-05,4,-
fark,y form,1.2000000000000002e-05,12.088884830474854,33.3488840960199,False,-,9094,-,-,1.2076279623589509e-05,1.2000000000000002e-05,5,-
fark,z form,1.2000000000000002e-05,16.784828424453735,50.34819302102551,False,-,9579,-,-,1.2002127759919676e-05,1.2000000000000002e-05,5,-
fark,y exact,1.2000000000000002e-05,1802.781725883484,7185.962624168955,True,-,9094,5374.0,-,1.2084478149991233e-05,1.2000000000000002e-05,-,-
fark,z exact,1.2000000000000002e-05,1801.9621767997742,7177.289345002035,True,-,9094,3186.0,-,1.2051717414897048e-05,1.2000000000000002e-05,-,-
comics,global,1.2000000000000002e-05,2.59867,-,-,-,9212,-,-,1.21028e-05,-,-,-
comics,local,1.2000000000000002e-05,118.427,-,-,-,15866,-,-,1.56272e-05,-,-,-
fark,y form,1.3000000000000003e-05,1.7741491794586182,3.577126585994847,False,-,15863,-,-,2.5586418975394426e-05,1.3000000000000003e-05,1,-
fark,z form,1.3000000000000003e-05,2.146087884902954,5.691124347038567,False,-,15872,-,-,1.8215588104061185e-05,1.3000000000000003e-05,1,-
fark,y form,1.3000000000000003e-05,4.298232555389404,10.782797187101096,False,-,9130,-,-,1.3188391272279228e-05,1.3000000000000003e-05,2,-
fark,z form,1.3000000000000003e-05,4.908895969390869,13.23641094902996,False,-,10789,-,-,1.3003872703379908e-05,1.3000000000000003e-05,2,-
fark,y form,1.3000000000000003e-05,7.283585548400879,19.87647144496441,False,-,9130,-,-,1.3188391272279228e-05,1.3000000000000003e-05,3,-
fark,z form,1.3000000000000003e-05,7.913297176361084,21.78472381096799,False,-,10789,-,-,1.3003872703379908e-05,1.3000000000000003e-05,3,-
fark,y form,1.3000000000000003e-05,10.421314716339111,29.509153632912785,False,-,9130,-,-,1.3188391272279228e-05,1.3000000000000003e-05,4,-
fark,z form,1.3000000000000003e-05,10.436915636062622,28.352237734012306,False,-,10789,-,-,1.3003872703379908e-05,1.3000000000000003e-05,4,-
fark,y form,1.3000000000000003e-05,12.72153639793396,35.894951453083195,False,-,9130,-,-,1.3188391272279228e-05,1.3000000000000003e-05,5,-
fark,z form,1.3000000000000003e-05,15.702357530593872,46.051142631913535,False,-,10789,-,-,1.3003872703379908e-05,1.3000000000000003e-05,5,-
fark,y exact,1.3000000000000003e-05,1802.9364604949951,7185.673297613044,True,-,9126,5640.0,-,1.304516651199192e-05,1.3000000000000003e-05,-,-
fark,z exact,1.3000000000000003e-05,1809.1946635246277,7205.97777045297,True,-,9127,2797.0,-,1.3036316221864444e-05,1.3000000000000003e-05,-,-
comics,global,1.3000000000000003e-05,15.7726,-,-,-,9432,-,-,1.30038e-05,-,-,-
comics,local,1.3000000000000003e-05,118.789,-,-,-,15866,-,-,1.56272e-05,-,-,-
fark,y form,1.4000000000000003e-05,1.7413339614868164,3.4668958670226857,False,-,15863,-,-,2.5586418975394426e-05,1.4000000000000001e-05,1,-
fark,z form,1.4000000000000003e-05,1.6866490840911865,3.8571649169316515,False,-,15872,-,-,1.8215588104061185e-05,1.4000000000000003e-05,1,-
fark,y form,1.4000000000000003e-05,3.9633445739746094,9.522211268078536,False,-,9158,-,-,1.4120507763810351e-05,1.4000000000000001e-05,2,-
fark,z form,1.4000000000000003e-05,3.9850456714630127,9.57302122109104,False,-,11907,-,-,1.4004471678918735e-05,1.4000000000000003e-05,2,-
fark,y form,1.4000000000000003e-05,7.1769187450408936,19.52029435802251,False,-,9158,-,-,1.4120507763810351e-05,1.4000000000000001e-05,3,-
fark,z form,1.4000000000000003e-05,7.331972599029541,19.460912965936586,False,-,11907,-,-,1.4004471678918735e-05,1.4000000000000003e-05,3,-
fark,y form,1.4000000000000003e-05,9.660779476165771,26.486533456947654,False,-,9158,-,-,1.4120507763810351e-05,1.4000000000000001e-05,4,-
fark,z form,1.4000000000000003e-05,10.901496887207031,30.222516026929952,False,-,11907,-,-,1.4004471678918735e-05,1.4000000000000003e-05,4,-
fark,y form,1.4000000000000003e-05,11.954747676849365,32.92772616806906,False,-,9158,-,-,1.4120507763810351e-05,1.4000000000000001e-05,5,-
fark,z form,1.4000000000000003e-05,15.492289781570435,45.18908247805666,False,-,11907,-,-,1.4004471678918735e-05,1.4000000000000003e-05,5,-
fark,y exact,1.4000000000000003e-05,1803.0088465213776,7185.978739788989,True,-,9154,5841.0,-,1.4005127885306886e-05,1.4000000000000003e-05,-,-
fark,z exact,1.4000000000000003e-05,1801.9825232028961,7177.189488200005,True,-,9158,3413.0,-,1.409178774106587e-05,1.4000000000000003e-05,-,-
comics,global,1.4000000000000003e-05,28.6266,-,-,-,10056,-,-,1.40055e-05,-,-,-
comics,local,1.4000000000000003e-05,120.283,-,-,-,15866,-,-,1.56272e-05,-,-,-
fark,y form,1.5000000000000004e-05,1.7251453399658203,3.3959135520271957,False,-,15863,-,-,2.5586418975394426e-05,1.5000000000000004e-05,1,-
fark,z form,1.5000000000000004e-05,1.6942808628082275,3.8722839799011126,False,-,15872,-,-,1.8215588104061185e-05,1.5000000000000004e-05,1,-
fark,y form,1.5000000000000004e-05,4.072369813919067,9.86908511200454,False,-,9186,-,-,1.511850349199601e-05,1.5000000000000004e-05,2,-
fark,z form,1.5000000000000004e-05,4.542803764343262,11.765011226991192,False,-,12947,-,-,1.500426257804725e-05,1.5000000000000004e-05,2,-
fark,y form,1.5000000000000004e-05,7.363266706466675,20.180056588957086,False,-,9186,-,-,1.511850349199601e-05,1.5000000000000004e-05,3,-
fark,z form,1.5000000000000004e-05,8.101868391036987,22.431982981041074,False,-,12947,-,-,1.500426257804725e-05,1.5000000000000004e-05,3,-
fark,y form,1.5000000000000004e-05,9.972983121871948,27.751679676002823,False,-,9186,-,-,1.511850349199601e-05,1.5000000000000004e-05,4,-
fark,z form,1.5000000000000004e-05,11.480651617050171,32.453697595978156,False,-,12947,-,-,1.500426257804725e-05,1.5000000000000004e-05,4,-
fark,y form,1.5000000000000004e-05,11.44761848449707,30.77551539405249,False,-,9186,-,-,1.511850349199601e-05,1.5000000000000004e-05,5,-
fark,z form,1.5000000000000004e-05,15.166298627853394,43.70501322497148,False,-,12947,-,-,1.500426257804725e-05,1.5000000000000004e-05,5,-
fark,y exact,1.5000000000000004e-05,1803.0596432685852,7186.21328282496,True,-,9186,6068.0,-,1.511850349199601e-05,1.5000000000000004e-05,-,-
fark,z exact,1.5000000000000004e-05,1802.05197930336,7177.293964850949,True,-,9187,3077.0,-,1.5097996623652277e-05,1.5000000000000004e-05,-,-
